model,universe,test_r2,test_rank_ic,test_rank_icir,gpu_used,portfolio,months,mean_monthly,annualized_mean,annualized_vol,sharpe,sortino,t_mean,block_boot_mean_lo,block_boot_mean_hi,max_drawdown,avg_turnover,median_capacity_musd,avg_abs_beta_exposure,avg_abs_size_exposure,capm_alpha_monthly,capm_alpha_t,ff3_alpha_monthly,ff3_alpha_t,ff5_alpha_monthly,ff5_alpha_t,ff5_umd_alpha_monthly,ff5_umd_alpha_t
elastic_net,research,-0.3186319535567652,0.03476702007388373,0.33757079924002376,,pred_elasticnet_research,251,0.0070876973476305,0.0850523681715661,0.1286712421778973,0.6610052621857424,1.3756086589839776,3.0230905421983274,0.0019255043185762,0.010480441335604,-0.2662339748771817,0.5394920219766803,0.0002558584499999,0.3141069122522051,0.8642705711384036,0.006621226605437,2.796292658539106,0.0069854184645819,2.8535605833364834,0.007650499961789,3.211612802190967,0.0075839751177779,3.0557389348247
elastic_net,implementation,-0.3186319535567652,0.03476702007388373,0.33757079924002376,,pred_elasticnet_implementation,250,-0.0011843656532633,-0.0142123878391598,0.1021860407453513,-0.1390834573440149,-0.19477545889373,-0.6348262246927042,-0.0059626533041447,0.0028368139784452,-0.533698286504475,0.7128867669693253,4.751468453,0.159185320535169,0.2489911611786034,-0.0008339522896998,-0.4252393287850433,-0.0006213044786026,-0.3541823248386387,-0.0009651755486635,-0.5830445533777497,-0.0009836549545513,-0.5849859784631805
lightgbm,research,0.000231274237225354,0.045404792140521205,0.4843473504772285,True,pred_lightgbm_research,251,0.0196130173440961,0.2353562081291532,0.1502057446410568,1.5668921897200303,2.6785761698981654,7.1661410738603095,0.0122755742049518,0.0301257160739785,-0.3015484655575848,0.8715778519124572,0.0003730072,0.9111850009319008,0.4345045426216842,0.0197238192787731,4.679057889626748,0.0198153792463756,4.551351288018684,0.0199145232375328,4.51939422418796,0.0204841142152482,4.474477705916966
lightgbm,implementation,0.000231274237225354,0.045404792140521205,0.4843473504772285,True,pred_lightgbm_implementation,250,0.0019897381580616,0.0238768578967403,0.0892270425433574,0.2675966524962206,0.4050879634070268,1.2214060240420932,-0.0018006703318821,0.0056281469537637,-0.4179586561654864,1.018028770051146,4.704970579,0.6931232747606433,0.3011200862856442,0.0019786701778701,1.126314417541992,0.002113166945094,1.1937211796669942,0.0023452262861271,1.4140597343851988,0.0023811958139655,1.459046161881032
xgboost,research,-0.011352169929117695,0.03952318537067485,0.43770395603275886,False,pred_xgboost_research,251,0.0351475738899681,0.4217708866796175,0.1754048926547007,2.404555997818766,3.0026654478573938,10.9971749258927,0.025216941027673,0.0473600203996549,-0.3747160144700588,1.016884193807815,0.0004898039475,0.2455363983495845,0.4682501348816027,0.0358505825059919,6.630617673738276,0.0360200604338592,6.579534521251351,0.0357119061469157,6.753427196506613,0.0361011856980845,6.423495835258321
xgboost,implementation,-0.011352169929117695,0.03952318537067485,0.43770395603275886,False,pred_xgboost_implementation,250,0.0108903998276081,0.130684797931298,0.1120532090624163,1.1662744782124297,1.1744117175448712,5.323290332995961,0.0061574279512464,0.016243187943001,-0.4803383486051187,1.1660081417671062,4.7281969851,0.1835713006615334,0.1860149827444167,0.0113487663963032,4.560441497837653,0.0117506531054122,4.865594925328737,0.0110165493794933,4.952782201879637,0.0110090951622924,4.775174623204023
torch_mlp,research,-0.021875056080528754,0.05120056964076012,0.4915980432277113,True,pred_torch_mlp_research,251,0.0170519450248511,0.2046233402982137,0.1363298599026191,1.5009429368179266,2.056721654271151,6.8645238642572615,0.0113754821501318,0.0229726903151538,-0.3229335031516395,0.7865930901313736,0.0003263956425,0.2927876776114592,0.2980251576266512,0.0168299325778444,6.028222123529207,0.0170309831240136,6.044729750643728,0.0174060928166793,5.948867298993199,0.0174891991075889,5.617620494884104
torch_mlp,implementation,-0.021875056080528754,0.05120056964076012,0.4915980432277113,True,pred_torch_mlp_implementation,250,0.0047737308815804,0.0572847705789651,0.1083722902702677,0.52859241450101,0.6045171793144511,2.4126832429027005,0.0007754784614029,0.0092019655811394,-0.5150116210695038,1.089739074557439,4.75097249215,0.197699603726746,0.1487060166653448,0.0051634987187194,2.6214421994441066,0.0054512552115921,2.772141476755052,0.0053952962620123,2.8669784569195187,0.0057126709920115,2.9183221714270418
conditional_deep,research,-0.144856112576895,0.058210854923495765,0.5010054528432575,True,pred_conditional_deep_research,251,0.0143570382909692,0.1722844594916315,0.1333607643691876,1.29186766667511,1.7443740649534063,5.908323501061509,0.0088158839177242,0.0192332987991028,-0.3281377104282665,0.8543966056816235,0.000243246944,0.2633018483593037,0.4886312702956501,0.0140607028315281,5.516601082627733,0.0143557673834146,5.674854665023864,0.0151879397335107,5.718064166615728,0.0151513720737566,5.34536238608929
conditional_deep,implementation,-0.144856112576895,0.058210854923495765,0.5010054528432575,True,pred_conditional_deep_implementation,250,0.004059325649407,0.0487119077928851,0.1080391108546258,0.4508729052614138,0.4936274949960524,2.057943839829717,-0.0001172563789095,0.0083506507034173,-0.5362267672999078,1.1375530984337483,4.761442391999999,0.169054230152034,0.1599199935796392,0.0043624300835717,2.2354428038024685,0.0044999940397528,2.3166983092387348,0.0042113092308099,2.340523795532603,0.0045086258413333,2.4418861084897685
